material,site,species,rain_q1.low,rain_q1.med,rain_q1.high,rain_q2.norain,rain_q2.low,rain_q2.med,rain_q3.norain,rain_q3.low,rain_q4.low,rain_q4.med,rain_q4.high,productivity
ft,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,66
na,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,65
br,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,63.6
br,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,63.5
fp,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,59.9
br,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,58.4
na,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,57.8
br,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,57.3
vm,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,56.6
br,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,56.2
na,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,55.8
cd,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,55.4
cd,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,55.3
br,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,53.9
cd,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,53.6
br,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,51.9
br,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,51.6
br,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,50.7
br,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,50
cd,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,48.3
br,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,47
tm,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,45.7
fu,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,42.2
cd,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,41.8
mo,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,40.1
cd,antôniojoão,soy,0,0,0,0,0,0,0,0,0,1,0,34.4
br,dourados,soy,0,0,0,0,0,0,0,0,0,1,0,61
br,dourados,soy,0,0,0,0,0,0,0,0,0,1,0,60
vm,dourados,soy,0,0,0,0,0,0,0,0,0,1,0,59
br,dourados,soy,0,0,0,0,0,0,0,0,0,1,0,59
fp,dourados,soy,0,0,0,0,0,0,0,0,0,1,0,57
na,dourados,soy,0,0,0,0,0,0,0,0,0,1,0,55
na,dourados,soy,0,0,0,0,0,0,0,0,0,1,0,54
cd,dourados,soy,0,0,0,0,0,0,0,0,0,1,0,48
vm,dourados,soy,0,0,0,0,0,0,0,0,0,1,0,47
cd,dourados,soy,0,0,0,0,0,0,0,0,0,1,0,45
br,eldorado,soy,0,0,0,0,0,0,0,0,0,1,0,70
br,eldorado,soy,0,0,0,0,0,0,0,0,0,1,0,69
vm,eldorado,soy,0,0,0,0,0,0,0,0,0,1,0,62
vm,eldorado,soy,0,0,0,0,0,0,0,0,0,1,0,61
fp,eldorado,soy,0,0,0,0,0,0,0,0,0,1,0,61
br,eldorado,soy,0,0,0,0,0,0,0,0,0,1,0,58
