date,Amambaí,Anaurilandia,Campo_Grande,Dourados,Ivinhema,Maracaju,Rio_Brilhante,São_Gabriel_do_Oeste,Sidrolândia
2008-01-01,,0.0,0.0,0.0,8.8,0.4,,19.0,
2008-01-02,,0.0,0.0,0.2,44.4,0.0,,7.6,
2008-01-03,,39.0,3.4,1.6,0.0,0.0,,0.4,
2008-01-04,,0.0,2.2,28.6,5.4,30.6,,5.0,
2008-01-05,,0.0,4.4,12.8,0.0,1.6,,0.0,
2008-01-06,,0.0,28.6,0.0,0.0,0.4,,1.0,
2008-01-07,,0.0,0.4,0.0,0.0,0.2,,0.2,
2008-01-08,,0.0,29.6,0.0,0.0,0.0,,30.0,
2008-01-09,,0.0,0.0,0.0,0.0,0.0,,0.8,
2008-01-10,,0.0,1.2,0.0,0.0,0.0,,9.4,
2008-01-11,,20.0,9.6,37.6,1.0,1.2,,8.2,
2008-01-12,,0.0,9.6,7.0,1.0,5.8,,0.0,
2008-01-13,,10.0,0.2,9.0,5.2,2.2,,2.4,
2008-01-14,,10.0,5.0,0.4,0.0,0.0,,0.8,
2008-01-15,,5.0,11.0,0.0,0.0,0.0,,2.4,
2008-01-16,,35.0,1.4,0.2,2.4,0.0,,0.6,
2008-01-17,,60.0,7.4,1.2,38.0,0.0,,0.4,
2008-01-18,,35.0,4.6,0.2,0.0,0.0,,0.4,
2008-01-19,,,17.6,1.6,5.0,2.0,,0.2,
2008-01-20,,,22.6,8.0,42.2,15.6,,0.0,
2008-01-21,,,8.4,1.4,0.4,3.0,,0.2,
2008-01-22,,,1.6,0.6,0.0,2.4,,0.0,
2008-01-23,,,1.8,0.0,0.0,0.0,,0.2,
2008-01-24,,,32.6,0.0,0.0,0.0,,0.2,
2008-01-25,,,17.4,4.4,0.4,0.6,,0.2,
2008-01-26,,12.0,19.4,26.4,17.6,22.6,,0.2,
2008-01-27,,15.0,10.8,30.8,33.8,17.6,,0.0,
2008-01-28,,,0.0,1.6,1.2,0.8,,0.0,
2008-01-29,,100.0,4.8,0.2,0.0,7.2,,0.2,
2008-01-30,,10.0,0.2,0.0,0.0,0.0,,0.2,
2008-01-31,,,0.0,1.6,14.0,0.4,,0.2,
2008-02-01,,,0.0,0.0,0.0,0.0,,0.0,
2008-02-02,,,0.0,0.0,0.0,0.0,,0.2,
2008-02-03,,,0.0,0.0,0.0,0.0,,0.0,
2008-02-04,,85.0,0.0,0.0,0.0,0.0,,1.4,
2008-02-05,,,0.6,0.0,0.0,0.0,,0.8,
2008-02-06,,10.0,0.0,0.0,0.0,0.0,,0.4,
2008-02-07,,,0.6,3.8,0.0,0.0,,0.6,
2008-02-08,,,0.0,0.0,0.0,0.0,,0.6,
2008-02-09,,20.0,3.6,17.2,3.8,10.6,,0.2,
2008-02-10,,60.0,14.2,22.8,1.2,1.2,,0.4,
2008-02-11,,35.0,17.2,8.0,23.4,55.2,,0.2,
2008-02-12,,,0.4,0.0,0.0,0.2,,0.2,
2008-02-13,,,0.0,0.0,0.0,0.0,,0.4,
2008-02-14,,,0.0,0.0,23.2,12.0,,0.0,
2008-02-15,,,2.6,8.6,4.2,4.8,,0.0,
2008-02-16,,,0.6,0.0,0.0,0.0,,0.6,
2008-02-17,,,1.6,0.0,0.0,0.0,,0.2,
2008-02-18,,,0.0,17.0,5.2,0.0,,0.0,
2008-02-19,,,0.6,6.4,9.2,22.6,,0.0,
2008-02-20,,,11.8,0.2,0.2,0.0,,0.0,
2008-02-21,,,1.2,1.4,0.4,80.0,,0.0,
2008-02-22,,,0.6,3.6,0.2,0.0,,0.0,
2008-02-23,,,36.4,4.4,18.6,1.4,,0.0,
2008-02-24,,,12.4,1.2,22.2,4.4,,0.0,
2008-02-25,,35.0,7.2,0.4,0.2,7.8,,0.0,
2008-02-26,,,18.4,40.4,32.0,33.8,,0.0,
2008-02-27,,45.0,1.0,2.0,5.0,4.2,,0.0,
2008-02-28,,,2.8,51.4,58.6,41.2,,0.0,
2008-02-29,,,17.4,40.6,30.6,17.6,,0.0,
2008-03-01,,,0.2,0.0,0.0,0.0,,0.0,
2008-03-02,,,0.0,0.0,0.0,0.0,,0.0,
2008-03-03,,,0.0,0.0,0.0,0.0,,0.0,
2008-03-04,,,0.0,0.0,0.0,0.0,,0.0,
2008-03-05,,,0.0,0.0,0.0,0.0,,0.0,
2008-03-06,,,28.2,0.0,0.0,0.0,,0.0,
2008-03-07,,,20.0,0.2,0.0,58.4,,0.0,
2008-03-08,,,13.4,0.6,20.2,5.0,,0.0,
2008-03-09,,,17.4,0.6,0.8,0.8,,0.0,
2008-03-10,,22.0,30.6,0.0,0.0,22.8,,0.0,
2008-03-11,,25.0,0.2,20.8,0.0,7.4,,0.0,
2008-03-12,,20.0,2.0,10.6,14.2,12.6,,0.0,
2008-03-13,,,27.8,0.0,7.4,2.8,,0.0,
2008-03-14,,,25.6,1.4,0.0,0.8,,0.0,
2008-03-15,,,0.2,2.0,0.0,3.4,,0.0,
2008-03-16,,,0.0,0.0,0.0,0.0,,0.0,
2008-03-17,,,0.0,0.0,0.0,0.0,,0.0,
2008-03-18,,,0.0,1.2,0.6,0.0,,0.0,
2008-03-19,,,0.2,0.0,0.0,0.0,,0.0,
2008-03-20,,,6.0,7.0,0.4,0.8,,0.0,
2008-03-21,,,0.4,0.6,0.0,0.2,,0.0,
2008-03-22,,12.0,0.0,3.2,1.2,0.2,,0.0,
2008-03-23,,,0.0,2.4,1.6,0.0,,0.0,
2008-03-24,,,0.0,0.0,0.0,0.0,,0.0,
2008-03-25,,,4.8,0.0,0.0,12.4,,0.0,
2008-03-26,,,8.0,0.0,0.0,0.0,,0.0,
2008-03-27,,,17.8,0.0,0.0,0.0,,0.0,
2008-03-28,,42.0,9.6,0.0,0.0,4.0,,0.0,
2008-03-29,,,0.0,0.2,0.0,0.4,,0.0,
2008-03-30,,12.0,0.0,0.0,0.0,0.0,,0.0,
2008-03-31,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-01,,,2.4,0.0,0.0,1.4,,0.0,
2008-04-02,,,2.8,46.8,17.4,19.0,,0.0,
2008-04-03,,,14.8,0.0,0.0,0.0,,0.0,
2008-04-04,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-05,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-06,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-07,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-08,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-09,,,0.8,0.0,0.0,0.0,,0.0,
2008-04-10,,,0.2,0.0,0.0,0.0,,0.0,
2008-04-11,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-12,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-13,,,0.0,1.2,1.6,0.4,,0.0,
2008-04-14,,,1.8,36.6,22.4,31.2,,0.0,
2008-04-15,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-16,,,0.0,2.0,3.0,0.8,,0.0,
2008-04-17,,,0.2,0.0,0.0,0.2,,0.0,
2008-04-18,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-19,,,27.8,45.0,55.2,32.4,,0.0,
2008-04-20,,,3.8,0.0,0.0,2.6,,0.0,
2008-04-21,,,0.2,0.0,0.0,1.0,,0.0,
2008-04-22,,,0.0,0.0,0.2,0.0,,0.0,
2008-04-23,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-24,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-25,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-26,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-27,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-28,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-29,,,37.8,7.0,10.2,14.8,,0.0,
2008-04-30,,,0.8,2.0,0.8,1.0,,0.0,
2008-05-01,,,2.4,5.6,21.2,5.0,,0.0,
2008-05-02,,,2.8,6.0,9.2,0.0,,0.0,
2008-05-03,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-04,,,0.0,0.0,0.4,0.0,,0.0,
2008-05-05,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-06,,,0.0,0.0,0.0,0.2,,0.0,
2008-05-07,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-08,,,0.0,0.2,0.0,0.0,,0.0,
2008-05-09,,,1.4,0.0,0.0,0.0,,0.0,
2008-05-10,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-11,,,0.6,0.0,0.0,0.0,,0.0,
2008-05-12,,,2.2,1.8,0.2,4.6,,0.0,
2008-05-13,,,4.4,0.8,0.0,0.6,,0.0,
2008-05-14,,30.0,0.0,0.0,0.0,0.2,,0.0,
2008-05-15,,,0.0,0.0,0.0,0.8,,0.0,
2008-05-16,,,35.6,0.0,0.0,0.4,,0.0,
2008-05-17,,,0.0,0.0,0.0,0.2,,0.0,
2008-05-18,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-19,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-20,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-21,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-22,,,0.0,0.0,0.0,0.0,,0.0,
