id,material,harvest,site,productivity,species
0,fts campo mourão rr,2008,antônio joão,66.0,soy
1,na 5909 rg,2008,antônio joão,65.0,soy
2,brs 282,2008,antônio joão,63.6,soy
3,brs 284,2008,antônio joão,63.5,soy
4,fps netuno rr,2008,antônio joão,59.9,soy
5,brs 246 rr,2008,antônio joão,58.4,soy
6,na 7321 rr,2008,antônio joão,57.8,soy
7,brasmax força rr,2008,antônio joão,57.3,soy
8,vmax rr,2008,antônio joão,56.6,soy
9,brs 283,2008,antônio joão,56.2,soy
10,na 4990 rr,2008,antônio joão,55.8,soy
11,cd 202,2008,antônio joão,55.4,soy
12,cd 226 rr,2008,antônio joão,55.3,soy
13,brasmax potência rr,2008,antônio joão,53.9,soy
14,cd 233 rr,2008,antônio joão,53.6,soy
15,brs 239,2008,antônio joão,51.9,soy
16,brs charrua rr,2008,antônio joão,51.6,soy
17,brs pampa rr,2008,antônio joão,50.7,soy
18,brs 245 rr,2008,antônio joão,50.0,soy
19,cd 225 rr,2008,antônio joão,48.3,soy
20,brs favorita rr,2008,antônio joão,47.0,soy
21,tmg 4001 rr,2008,antônio joão,45.7,soy
22,fundacep 59 rr,2008,antônio joão,42.2,soy
23,cd 219 rr,2008,antônio joão,41.8,soy
24,monasca,2008,antônio joão,40.1,soy
25,cd 231 rr,2008,antônio joão,34.4,soy
26,brasmax potência rr,2008,dourados,61.0,soy
27,brasmax força rr,2008,dourados,60.0,soy
28,vmax rr,2008,dourados,59.0,soy
29,brs 268,2008,dourados,59.0,soy
30,fps netuno rr,2008,dourados,57.0,soy
31,na 5909 rg,2008,dourados,55.0,soy
32,na 7321 rr,2008,dourados,54.0,soy
33,cd 225 rr,2008,dourados,48.0,soy
34,vmax,2008,dourados,47.0,soy
35,cd 233 rr,2008,dourados,45.0,soy
36,brasmax potência rr,2008,eldorado,70.0,soy
37,brs 268,2008,eldorado,69.0,soy
38,vmax,2008,eldorado,62.0,soy
39,vmax rr,2008,eldorado,61.0,soy
40,fps netuno rr,2008,eldorado,61.0,soy
41,brasmax força rr,2008,eldorado,58.0,soy
42,cd 233 rr,2008,eldorado,57.0,soy
43,cd 225 rr,2008,eldorado,50.0,soy
44,brasmax força rr,2008,laguna carapã,46.0,soy
45,brasmax potência rr,2008,laguna carapã,45.0,soy
46,vmax rr,2008,laguna carapã,41.0,soy
47,fps netuno rr,2008,laguna carapã,38.0,soy
48,na 7321 rr,2008,laguna carapã,38.0,soy
49,brs 268,2008,laguna carapã,38.0,soy
50,cd 233 rr,2008,laguna carapã,35.0,soy
51,vmax,2008,laguna carapã,33.0,soy
52,na 5909 rg,2008,laguna carapã,33.0,soy
53,cd 225 rr,2008,laguna carapã,29.0,soy
54,vmax rr,2008,maracaju,29.0,soy
55,brs 284,2008,maracaju,28.0,soy
56,brasmax potência rr,2008,maracaju,25.4,soy
57,brs 283,2008,maracaju,23.7,soy
58,vmax,2008,maracaju,23.6,soy
59,brasmax força rr,2008,maracaju,21.0,soy
60,fps netuno rr,2008,maracaju,18.9,soy
61,cd 233 rr,2008,maracaju,17.1,soy
62,brs 268,2008,maracaju,15.9,soy
63,brasmax titan rr,2008,maracaju,14.7,soy
64,na 7321 rr,2008,maracaju,10.9,soy
65,cd 225 rr,2008,maracaju,7.9,soy
66,brs 284,2008,maracaju,42.4,soy
67,brs 268,2008,maracaju,41.3,soy
68,brasmax força rr,2008,maracaju,39.6,soy
69,cd 226 rr,2008,maracaju,38.6,soy
70,brs 255 rr,2008,maracaju,38.0,soy
71,brs 282,2008,maracaju,37.6,soy
72,m-soy 8001,2008,maracaju,37.1,soy
73,cd 219 rr,2008,maracaju,36.6,soy
74,brs 246 rr,2008,maracaju,35.6,soy
75,brs 283,2008,maracaju,35.5,soy
76,brs charrua rr,2008,maracaju,34.6,soy
77,brs 232,2008,maracaju,34.4,soy
78,na 5909 rg,2008,maracaju,34.0,soy
