site,material,depth,rain_q1.low,rain_q1.med,rain_q1.high,rain_q2.norain,rain_q2.low,rain_q2.med,rain_q3.norain,rain_q3.low,rain_q4.low,rain_q4.med,rain_q4.high,PH_CACL2,PH_AGUA,MO_GDM3,P_meh_MG_DM3,P_res_MG_DM3,K_MG_DM3,CA_CMOLCDM3,MG_CMOLCDM3,AL_CMOLCDM3,H_Al_CMOLCDM3,SOM_BASES,CTC,SAT_BASES,S_MG_DM3,ZN_MG_DM3,B_MG_DM3,CU_MG_DM3,MN_MG_DM3,FE_MG_DM3,REL_CAMG,SATPOR_K,SATPOR_CA,SATPOR_MG,SATPOR_H,SATDE_AL,ARGILA,productivity
aralmoreira,ag,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,103.8
aralmoreira,ag,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,103.8
aralmoreira,ag,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,83.4
aralmoreira,ag,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,83.4
aralmoreira,rb,00-20,0,1,0,0,0,1,1,0,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,81.9
aralmoreira,rb,20-40,0,1,0,0,0,1,1,0,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,81.9
aralmoreira,2b,00-20,0,1,0,0,0,1,1,0,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,71.2
aralmoreira,2b,20-40,0,1,0,0,0,1,1,0,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,71.2
aralmoreira,as,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,78.4
aralmoreira,as,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,78.4
aralmoreira,cd,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,74
aralmoreira,cd,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,74
aralmoreira,as,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,84
aralmoreira,as,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,84
aralmoreira,2b,00-20,0,1,0,0,0,1,1,0,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,74.9
aralmoreira,2b,20-40,0,1,0,0,0,1,1,0,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,74.9
aralmoreira,to,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,68.4
aralmoreira,to,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,68.4
aralmoreira,hs,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,65
aralmoreira,hs,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,65
aralmoreira,gn,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,83.2
aralmoreira,gn,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,83.2
aralmoreira,as,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,69.8
aralmoreira,as,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,69.8
aralmoreira,ag,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,63.1
aralmoreira,ag,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,63.1
aralmoreira,p4,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,80.3
aralmoreira,p4,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,80.3
aralmoreira,2b,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,109.3
aralmoreira,2b,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,109.3
aralmoreira,b5,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,61.9
aralmoreira,b5,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,61.9
aralmoreira,bg,00-20,0,0,1,1,0,0,0,1,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,69.8
aralmoreira,bg,20-40,0,0,1,1,0,0,0,1,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,69.8
aralmoreira,bf,00-20,0,1,0,0,0,1,1,0,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,85.7
aralmoreira,bf,20-40,0,1,0,0,0,1,1,0,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,85.7
aralmoreira,2m,00-20,0,1,0,0,0,1,1,0,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,77.2
aralmoreira,2m,20-40,0,1,0,0,0,1,1,0,0,0,1,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2,77.2
aralmoreira,2b,00-20,0,1,0,0,0,1,1,0,0,0,1,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64,75.5
