material,site,ciclo,safra,epoca,rain_q1.low,rain_q1.med,rain_q1.high,rain_q2.norain,rain_q2.low,rain_q2.med,rain_q3.norain,rain_q3.low,rain_q4.low,rain_q4.med,rain_q4.high,productivity
ft,antôniojoão,103,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,66
na,antôniojoão,111,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,65
br,antôniojoão,111,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,63.6
br,antôniojoão,114,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,63.5
fp,antôniojoão,104,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,59.9
br,antôniojoão,110,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,58.4
na,antôniojoão,110,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,57.8
br,antôniojoão,114,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,57.3
vm,antôniojoão,114,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,56.6
br,antôniojoão,116,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,56.2
na,antôniojoão,108,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,55.8
cd,antôniojoão,117,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,55.4
cd,antôniojoão,115,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,55.3
br,antôniojoão,107,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,53.9
cd,antôniojoão,140,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,53.6
br,antôniojoão,103,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,51.9
br,antôniojoão,117,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,51.6
br,antôniojoão,115,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,50.7
br,antôniojoão,111,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,50
cd,antôniojoão,114,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,48.3
br,antôniojoão,105,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,47
tm,antôniojoão,100,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,45.7
fu,antôniojoão,108,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,42.2
cd,antôniojoão,118,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,41.8
mo,antôniojoão,118,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,40.1
cd,antôniojoão,114,2008-2009,2,0,0,0,0,0,0,0,0,0,1,0,34.4
br,dourados,116,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,61
br,dourados,112,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,60
vm,dourados,118,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,59
br,dourados,104,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,59
fp,dourados,110,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,57
na,dourados,103,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,55
na,dourados,113,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,54
cd,dourados,108,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,48
vm,dourados,110,2008-2009,1,0,0,0,0,0,0,0,0,0,1,0,47
