site,safra,material,ciclo,epoca,rain_q1.low,rain_q1.med,rain_q1.high,rain_q2.norain,rain_q2.low,rain_q2.med,rain_q3.norain,rain_q3.low,rain_q4.low,rain_q4.med,rain_q4.high,depth,PH_CACL2,PH_AGUA,MO_GDM3,P_meh_MG_DM3,P_res_MG_DM3,K_MG_DM3,CA_CMOLCDM3,MG_CMOLCDM3,AL_CMOLCDM3,H_Al_CMOLCDM3,SOM_BASES,CTC,SAT_BASES,S_MG_DM3,ZN_MG_DM3,B_MG_DM3,CU_MG_DM3,MN_MG_DM3,FE_MG_DM3,REL_CAMG,SATPOR_K,SATPOR_CA,SATPOR_MG,SATPOR_H,SATDE_AL,ARGILA,productivity
anastácio,2010-2011,t,111,3,0,0,1,1,0,0,1,0,1,0,0,20-40,4.1,4.8,4.1,1.8,5,0.2,0.3,0.2,0.6,1.9,0.6,2.4,23.1,8.4,8.57,0.33,1.8,12.3,141.72,1.8,2.2,12.6,6.9,52.8,51,50,34.5
anastácio,2010-2011,t,111,3,0,0,1,1,0,0,1,0,1,0,0,00-20,5.1,5.8,8.2,6.4,3.8,0.32,1.5,0.6,0,1.4,2.2,3.6,60.5,7.6,0.4,0.34,0.3,19,67,2.6,2.3,41.6,16.1,39.5,0,13.8,34.5
anastácio,2010-2011,s,126,1,0,0,1,1,0,0,1,0,1,0,0,20-40,4.1,4.8,4.1,1.8,5,0.2,0.3,0.2,0.6,1.9,0.6,2.4,23.1,8.4,8.57,0.33,1.8,12.3,141.72,1.8,2.2,12.6,6.9,52.8,51,50,29.4
anastácio,2010-2011,s,126,1,0,0,1,1,0,0,1,0,1,0,0,00-20,5.1,5.8,8.2,6.4,3.8,0.32,1.5,0.6,0,1.4,2.2,3.6,60.5,7.6,0.4,0.34,0.3,19,67,2.6,2.3,41.6,16.1,39.5,0,13.8,29.4
anastácio,2010-2011,b,121,1,0,0,1,1,0,0,1,0,1,0,0,20-40,4.1,4.8,4.1,1.8,5,0.2,0.3,0.2,0.6,1.9,0.6,2.4,23.1,8.4,8.57,0.33,1.8,12.3,141.72,1.8,2.2,12.6,6.9,52.8,51,50,30.3
anastácio,2010-2011,b,121,1,0,0,1,1,0,0,1,0,1,0,0,00-20,5.1,5.8,8.2,6.4,3.8,0.32,1.5,0.6,0,1.4,2.2,3.6,60.5,7.6,0.4,0.34,0.3,19,67,2.6,2.3,41.6,16.1,39.5,0,13.8,30.3
anastácio,2010-2011,n,125,1,0,0,1,1,0,0,1,0,1,0,0,20-40,4.1,4.8,4.1,1.8,5,0.2,0.3,0.2,0.6,1.9,0.6,2.4,23.1,8.4,8.57,0.33,1.8,12.3,141.72,1.8,2.2,12.6,6.9,52.8,51,50,30.4
anastácio,2010-2011,n,125,1,0,0,1,1,0,0,1,0,1,0,0,00-20,5.1,5.8,8.2,6.4,3.8,0.32,1.5,0.6,0,1.4,2.2,3.6,60.5,7.6,0.4,0.34,0.3,19,67,2.6,2.3,41.6,16.1,39.5,0,13.8,30.4
anastácio,2010-2011,f,118,2,0,0,1,1,0,0,1,0,1,0,0,20-40,4.1,4.8,4.1,1.8,5,0.2,0.3,0.2,0.6,1.9,0.6,2.4,23.1,8.4,8.57,0.33,1.8,12.3,141.72,1.8,2.2,12.6,6.9,52.8,51,50,43
anastácio,2010-2011,f,118,2,0,0,1,1,0,0,1,0,1,0,0,00-20,5.1,5.8,8.2,6.4,3.8,0.32,1.5,0.6,0,1.4,2.2,3.6,60.5,7.6,0.4,0.34,0.3,19,67,2.6,2.3,41.6,16.1,39.5,0,13.8,43
anastácio,2010-2011,s,110,1,0,0,1,1,0,0,1,0,1,0,0,20-40,4.1,4.8,4.1,1.8,5,0.2,0.3,0.2,0.6,1.9,0.6,2.4,23.1,8.4,8.57,0.33,1.8,12.3,141.72,1.8,2.2,12.6,6.9,52.8,51,50,34.2
anastácio,2010-2011,s,110,1,0,0,1,1,0,0,1,0,1,0,0,00-20,5.1,5.8,8.2,6.4,3.8,0.32,1.5,0.6,0,1.4,2.2,3.6,60.5,7.6,0.4,0.34,0.3,19,67,2.6,2.3,41.6,16.1,39.5,0,13.8,34.2
anastácio,2010-2011,f,121,3,0,0,1,1,0,0,1,0,1,0,0,20-40,4.1,4.8,4.1,1.8,5,0.2,0.3,0.2,0.6,1.9,0.6,2.4,23.1,8.4,8.57,0.33,1.8,12.3,141.72,1.8,2.2,12.6,6.9,52.8,51,50,37.8
anastácio,2010-2011,f,121,3,0,0,1,1,0,0,1,0,1,0,0,00-20,5.1,5.8,8.2,6.4,3.8,0.32,1.5,0.6,0,1.4,2.2,3.6,60.5,7.6,0.4,0.34,0.3,19,67,2.6,2.3,41.6,16.1,39.5,0,13.8,37.8
anastácio,2010-2011,b,116,3,0,0,1,1,0,0,1,0,1,0,0,20-40,4.1,4.8,4.1,1.8,5,0.2,0.3,0.2,0.6,1.9,0.6,2.4,23.1,8.4,8.57,0.33,1.8,12.3,141.72,1.8,2.2,12.6,6.9,52.8,51,50,43.1
anastácio,2010-2011,b,116,3,0,0,1,1,0,0,1,0,1,0,0,00-20,5.1,5.8,8.2,6.4,3.8,0.32,1.5,0.6,0,1.4,2.2,3.6,60.5,7.6,0.4,0.34,0.3,19,67,2.6,2.3,41.6,16.1,39.5,0,13.8,43.1
anastácio,2010-2011,v,140,1,0,0,1,1,0,0,1,0,1,0,0,20-40,4.1,4.8,4.1,1.8,5,0.2,0.3,0.2,0.6,1.9,0.6,2.4,23.1,8.4,8.57,0.33,1.8,12.3,141.72,1.8,2.2,12.6,6.9,52.8,51,50,35.7
anastácio,2010-2011,v,140,1,0,0,1,1,0,0,1,0,1,0,0,00-20,5.1,5.8,8.2,6.4,3.8,0.32,1.5,0.6,0,1.4,2.2,3.6,60.5,7.6,0.4,0.34,0.3,19,67,2.6,2.3,41.6,16.1,39.5,0,13.8,35.7
anastácio,2010-2011,s,117,1,0,0,1,1,0,0,1,0,1,0,0,20-40,4.1,4.8,4.1,1.8,5,0.2,0.3,0.2,0.6,1.9,0.6,2.4,23.1,8.4,8.57,0.33,1.8,12.3,141.72,1.8,2.2,12.6,6.9,52.8,51,50,32.8
anastácio,2010-2011,s,117,1,0,0,1,1,0,0,1,0,1,0,0,00-20,5.1,5.8,8.2,6.4,3.8,0.32,1.5,0.6,0,1.4,2.2,3.6,60.5,7.6,0.4,0.34,0.3,19,67,2.6,2.3,41.6,16.1,39.5,0,13.8,32.8
anastácio,2010-2011,b,150,1,0,0,1,1,0,0,1,0,1,0,0,20-40,4.1,4.8,4.1,1.8,5,0.2,0.3,0.2,0.6,1.9,0.6,2.4,23.1,8.4,8.57,0.33,1.8,12.3,141.72,1.8,2.2,12.6,6.9,52.8,51,50,42.9
anastácio,2010-2011,b,150,1,0,0,1,1,0,0,1,0,1,0,0,00-20,5.1,5.8,8.2,6.4,3.8,0.32,1.5,0.6,0,1.4,2.2,3.6,60.5,7.6,0.4,0.34,0.3,19,67,2.6,2.3,41.6,16.1,39.5,0,13.8,42.9
anastácio,2010-2011,n,122,1,0,0,1,1,0,0,1,0,1,0,0,20-40,4.1,4.8,4.1,1.8,5,0.2,0.3,0.2,0.6,1.9,0.6,2.4,23.1,8.4,8.57,0.33,1.8,12.3,141.72,1.8,2.2,12.6,6.9,52.8,51,50,16.3
anastácio,2010-2011,n,122,1,0,0,1,1,0,0,1,0,1,0,0,00-20,5.1,5.8,8.2,6.4,3.8,0.32,1.5,0.6,0,1.4,2.2,3.6,60.5,7.6,0.4,0.34,0.3,19,67,2.6,2.3,41.6,16.1,39.5,0,13.8,16.3
anastácio,2010-2011,n,130,1,0,0,1,1,0,0,1,0,1,0,0,20-40,4.1,4.8,4.1,1.8,5,0.2,0.3,0.2,0.6,1.9,0.6,2.4,23.1,8.4,8.57,0.33,1.8,12.3,141.72,1.8,2.2,12.6,6.9,52.8,51,50,25.9
anastácio,2010-2011,n,130,1,0,0,1,1,0,0,1,0,1,0,0,00-20,5.1,5.8,8.2,6.4,3.8,0.32,1.5,0.6,0,1.4,2.2,3.6,60.5,7.6,0.4,0.34,0.3,19,67,2.6,2.3,41.6,16.1,39.5,0,13.8,25.9
anastácio,2010-2011,b,133,1,0,0,1,1,0,0,1,0,1,0,0,20-40,4.1,4.8,4.1,1.8,5,0.2,0.3,0.2,0.6,1.9,0.6,2.4,23.1,8.4,8.57,0.33,1.8,12.3,141.72,1.8,2.2,12.6,6.9,52.8,51,50,25.2
anastácio,2010-2011,b,133,1,0,0,1,1,0,0,1,0,1,0,0,00-20,5.1,5.8,8.2,6.4,3.8,0.32,1.5,0.6,0,1.4,2.2,3.6,60.5,7.6,0.4,0.34,0.3,19,67,2.6,2.3,41.6,16.1,39.5,0,13.8,25.2
anastácio,2010-2011,b,106,2,0,0,1,1,0,0,1,0,1,0,0,20-40,4.1,4.8,4.1,1.8,5,0.2,0.3,0.2,0.6,1.9,0.6,2.4,23.1,8.4,8.57,0.33,1.8,12.3,141.72,1.8,2.2,12.6,6.9,52.8,51,50,41.9
