site,safra,depth,PH_CACL2,PH_AGUA,MO_GDM3,P_meh_MG_DM3,P_res_MG_DM3,K_MG_DM3,CA_CMOLCDM3,MG_CMOLCDM3,AL_CMOLCDM3,H_Al_CMOLCDM3,SOM_BASES,CTC,SAT_BASES,S_MG_DM3,ZN_MG_DM3,B_MG_DM3,CU_MG_DM3,MN_MG_DM3,FE_MG_DM3,REL_CAMG,SATPOR_K,SATPOR_CA,SATPOR_MG,SATPOR_H,SATDE_AL,ARGILA
maracaju,2009,00-20,5.3,5.9,31.5,12.8,22.1,0.28,3.8,1.8,0,3.2,5.8,8.9,64.4,23.7,2.9,0.13,7.6,59.4,69.6,2,2.6,50.4,24.7,22.3,0,54
maracaju,2009,20-40,4.8,5.4,20.5,1.1,8.3,0.08,1.8,0.9,0.6,3.6,2.7,6.3,42.6,106.2,0.8,0.47,12.6,183.4,170,1.8,1.2,44.8,24.5,29.4,0,11.9
dourados,2009,00-20,5.7,6.3,40,3.4,10,0.38,7.4,3.6,0,3.3,11.3,14.6,77.7,10,2.8,0.53,17.4,88.2,20.2,2,2.6,50.4,24.7,22.3,0,54
dourados,2009,20-40,5.6,6.3,28.7,2.4,15.6,0.13,4.8,2.6,0,3.1,7.5,11.6,70.6,73,8.8,0.3,12.6,95.8,88.26,1.8,1.2,44.8,24.5,29.4,0,56.1
sidrolândia,2009,00-20,5.5,6.1,31.4,5.5,47.4,0.66,5.3,2,0,4.4,7.9,12.3,64.2,41,6,0.46,9.5,50.9,30.3,2.7,5.4,42.9,15.9,35.8,0,54
sidrolândia,2009,20-40,4.8,5.4,27.7,2.3,4.1,0.26,1.8,0.9,0.5,5,3,7.9,37.4,106.9,1.45,0.32,11.35,55.3,59.86,2,3.3,22.8,11.4,56.6,13.8,45.2
aralmoreira,2009,00-20,5,5.6,37.3,13,20.2,0.4,2.7,1,0,5,4,9,44.6,13.8,4.5,0.26,3.8,25.2,72.7,2.8,4.46,29.6,10.6,55.4,0,64
aralmoreira,2009,20-40,4.9,5.5,27.9,1.1,3,0.16,1.6,0.9,0.2,3.8,2.6,6.4,40.1,50.7,0.4,0.33,4.93,3.7,63.81,1.8,2.51,24.3,13.3,56.9,6.9,45.2
naviraí,2009,00-20,5.2,5.8,20.6,28.1,15.6,0.33,2.5,1,0,2.5,3.8,6.3,60.7,6.5,4.8,0.61,1.2,60.9,43,2.5,5.23,39.6,15.9,39.3,0,37
naviraí,2009,20-40,5.1,5.7,10.7,6.1,5.5,0.28,1.8,0.9,2.7,1.8,2.9,4.8,61.4,15.7,72,0.12,17.4,183.4,11,1.94,5.87,36.7,18.9,38.6,0,16
