site,safra,depth,PH_CACL2,PH_AGUA,MO_GDM3,P_meh_MG_DM3,P_res_MG_DM3,K_MG_DM3,CA_CMOLCDM3,MG_CMOLCDM3,AL_CMOLCDM3,H_Al_CMOLCDM3,SOM_BASES,CTC,SAT_BASES,S_MG_DM3,ZN_MG_DM3,B_MG_DM3,CU_MG_DM3,MN_MG_DM3,FE_MG_DM3,REL_CAMG,SATPOR_K,SATPOR_CA,SATPOR_MG,SATPOR_H,SATDE_AL,ARGILA
maracaju,2008-2009,00-20,5.24,5.85,27.33,10.06,5,0.36,4.95,1.85,0,2.27,7.16,9.43,75.93,65.52,2.62,0.26,5.67,79.92,76.59,4.4,4.1,55.6,14.7,23.04,0,64
maracaju,2008-2009,20-40,4.58,5.2,24.03,0.94,52.88,0.1,1.6,1,0.57,3.19,2.7,5.89,45.87,124.24,1.73,0.21,6.3,74.76,44.37,2.5,1.06,37.82,6.9,55.28,0,70
sãogabrieldooeste,2008-2009,00-20,5.1,5.7,37.1,21.2,52.88,1.14,3.2,1.2,0,3.9,4.5,8.4,53.6,6.4,5.9,0.8,1.5,18.3,35.2,2,4.1,47.21,4.9,52.3,0,50
sãogabrieldooeste,2008-2009,20-40,4.7,5.3,26.6,0.9,52.88,0.09,0.9,0.5,0.4,3.7,1.5,5.2,28.8,37.2,2,0.21,5.39,12.3,122.8,1.71,1.87,18.25,6.9,69.05,12.2,41
sonora,2008-2009,00-20,5.2,5.9,36,15,52.88,0.12,3.9,1.2,0,2.5,5.22,7.22,67.62,7.8,3.8,0.2,1,3.5,79,3.8,2.43,52.58,11.44,46.2,0,53.2
sonora,2008-2009,20-40,5,5.7,26,5,52.88,0.08,2.3,0.7,0,2.9,3.08,5.98,51.51,9,2,0.33,0.3,6.9,118.3,4.45,2.76,34.12,15.2,55.8,3.8,38
maracaju,2009-2010,00-20,5.23,5.84,33,13.4,52.88,0.51,6.05,2.45,0,4.4,9.01,13.4,67.2,8.02,6.02,0.35,7.7,113.3,67.7,7.5,1.73,57.69,6.1,0,0,51
maracaju,2009-2010,20-40,4.57,5.18,27,1.2,52.88,0.12,2.75,1.25,0.5,5.3,4.12,9.46,43.6,124.9,1.73,0.34,4.9,38,87.5,1.5,2.6,33.11,6,55.28,0,64
sãogabrieldooeste,2009-2010,00-20,5.2,5.9,36,15,52.88,0.12,3.9,1.2,0,2.5,5.22,7.22,67.62,7.8,3.8,0.2,1,3.5,79,2.6,5.22,45.8,15.78,40.72,0,53.2
sãogabrieldooeste,2009-2010,20-40,5,5.7,26,5,52.88,0.08,2.3,0.7,0,2.9,3.08,5.98,51.51,9,3.3,0.2,10.25,101.3,45,4.63,1.42,41.4,8.42,47.9,0,61.3
